No;Istilah (ID);Definisi (ID );Contoh   (ID)
184;Transformasi Wacana;Transformasi wacana adalah perubahan bentuk dan makna wacana dalam konteks berbeda. Hal ini mencerminkan dinamika sosial (Fairclough, 1995).;Kompas, 05/01/2024: “Kebijakan yang dulu ditolak kini diterima publik.” → Analisis: Perubahan makna sosial.
185;Reproduksi Ideologi;Reproduksi ideologi adalah proses mempertahankan sistem kepercayaan melalui wacana. Hal ini dilakukan melalui pengulangan dan normalisasi (van Dijk, 1998).;Kompas, 03/10/2023: “Narasi stabilitas terus ditekankan dalam kebijakan.” → Analisis: Ideologi diperkuat melalui repetisi.
186;Legitimasi Diskursif;Legitimasi diskursif adalah pembenaran tindakan melalui bahasa. Hal ini memberikan justifikasi moral atau rasional (van Leeuwen, 2008).;CNN Indonesia, 12/01/2024: “Kebijakan ini diperlukan demi kepentingan nasional.” → Analisis: Justifikasi melalui nilai nasional.
187;Delegitimasi;Delegitimasi adalah upaya melemahkan keabsahan suatu aktor atau kebijakan. Hal ini dilakukan melalui bahasa negatif (van Leeuwen, 2008).;Tempo, 01/03/2024: “Kebijakan ini dinilai gagal melindungi rakyat.” → Analisis: Keabsahan kebijakan dipertanyakan.
188;Hibriditas Wacana;Hibriditas wacana adalah percampuran berbagai jenis wacana dalam satu teks. Hal ini mencerminkan kompleksitas sosial (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Kebijakan ini menggabungkan pendekatan ekonomi dan sosial.” → Analisis: Wacana campuran.
189;Artikulasi Ideologi;Artikulasi ideologi adalah proses menghubungkan ide dengan praktik sosial melalui wacana. Hal ini membentuk makna kolektif (Laclau & Mouffe, 1985).;Kompas, 05/01/2024: “Pembangunan dikaitkan dengan kesejahteraan masyarakat.” → Analisis: Ideologi dikaitkan dengan nilai sosial.
190;Kritik Wacana Terpadu;Kritik wacana terpadu adalah analisis yang menggabungkan aspek linguistik, sosial, dan ideologis. Pendekatan ini menghasilkan pemahaman komprehensif (Fairclough, 1995).;Tempo, 01/03/2024: “Kebijakan ini dianalisis dari sisi bahasa, kekuasaan, dan dampaknya.” → Analisis: Pendekatan holistik.
191;Meta-Analisis Wacana;Meta-analisis wacana adalah refleksi kritis terhadap metode dan hasil analisis wacana itu sendiri. Pendekatan ini mengevaluasi asumsi teoretis dan prosedural CDA (Wodak & Meyer, 2001).;Tempo, 01/03/2024: “Analisis media menunjukkan kecenderungan framing tertentu dalam pemberitaan ekonomi.” → Analisis: Refleksi terhadap praktik analisis wacana media.
192;Refleksivitas;Refleksivitas adalah kesadaran peneliti terhadap posisi dan pengaruhnya dalam analisis. Hal ini penting untuk menjaga objektivitas kritis (Fairclough, 1995).;Kompas, 05/01/2024: “Peneliti menilai pemberitaan ini dari perspektif kritis.” → Analisis: Posisi analis diakui.
193;Kritik Emansipatoris;Kritik emansipatoris bertujuan membebaskan kelompok tertindas melalui analisis wacana. CDA memiliki orientasi perubahan sosial (Fairclough, 1995).;Tempo, 01/03/2024: “Analisis ini menyoroti ketidakadilan dalam kebijakan publik.” → Analisis: Fokus pada perubahan sosial.
194;Kesadaran Kritis;Kesadaran kritis adalah kemampuan memahami relasi kekuasaan dalam wacana. Hal ini memungkinkan pembaca bersikap reflektif (van Dijk, 1998).;Kompas, 03/10/2023: “Masyarakat mulai mempertanyakan narasi resmi pemerintah.” → Analisis: Tumbuhnya kesadaran kritis.
195;Transformasi Sosial;Transformasi sosial adalah perubahan struktur masyarakat yang dipengaruhi oleh wacana. CDA berorientasi pada perubahan ini (Fairclough, 1995).;CNN Indonesia, 12/01/2024: “Perubahan kebijakan berdampak pada struktur ekonomi masyarakat.” → Analisis: Wacana memicu perubahan sosial.
196;Praktik Kritis;Praktik kritis adalah penerapan analisis wacana untuk mengungkap ketimpangan. Hal ini bersifat analitis sekaligus normatif (Wodak & Meyer, 2001).;Tempo, 01/03/2024: “Analisis ini mengkritik dominasi narasi ekonomi tertentu.” → Analisis: Pendekatan kritis diterapkan.
197;Analisis Multilevel;Analisis multilevel adalah pendekatan yang menggabungkan level mikro, meso, dan makro. Hal ini menghasilkan analisis komprehensif (Fairclough, 1995).;Kompas, 05/01/2024: “Bahasa kebijakan dianalisis bersama konteks sosialnya.” → Analisis: Integrasi berbagai level.
198;Integrasi Teoretis;Integrasi teoretis adalah penggabungan berbagai teori dalam CDA. Hal ini memperkaya analisis (Wodak & Meyer, 2001).;Tempo, 01/03/2024: “Analisis ini menggabungkan teori linguistik dan sosial.” → Analisis: Pendekatan multidisipliner.
199;Sintesis Wacana;Sintesis wacana adalah penggabungan berbagai temuan analisis menjadi kesimpulan. Hal ini menghasilkan pemahaman utuh (Fairclough, 1995).;Kompas, 03/10/2023: “Kesimpulan menunjukkan dominasi narasi ekonomi dalam kebijakan.” → Analisis: Hasil integrasi analisis.
200;Kerangka CDA;"Kerangka CDA adalah sistem konsep untuk menganalisis wacana secara kritis. Kerangka ini mengintegrasikan bahasa, kekuasaan, dan ideologi (Fairclough, 1995; van Dijk, 1998).";CNN Indonesia, 12/01/2024: “Analisis kebijakan dilakukan dengan pendekatan kritis terhadap bahasa dan kekuasaan.” → Analisis: Penerapan penuh CDA.
